Date,VOOV,EZU,IWM,SMH,IBB,XLU,VOOG,SPY,QQQ
2/25/16,82.18,32.08,102.54,50.32,86.44,47.48,98.82,195.54,103.56
2/26/16,82.17,31.99,103.19,50.6,87.16,46.17,98.58,195.09,103.43
2/29/16,81.49,31.8,102.73,50.43,84.7,46.3,97.71,193.56,102.5
3/1/16,83.27,32.82,104.94,51.98,88.42,46.07,100.26,198.11,105.79
3/2/16,83.99,32.87,106.02,52.25,89.37,46.31,100.3,199,105.83
3/3/16,84.53,33.2,107.13,52.37,88.08,46.59,100.4,199.78,105.63
3/4/16,84.97,33.31,107.72,52.71,87.71,47.11,100.57,200.43,105.67
3/7/16,85.29,33.27,108.89,52.91,89.92,47.37,100.14,200.59,105.02
3/8/16,84.25,32.96,106.26,51.91,86.71,47.84,99.47,198.4,104.15
3/9/16,84.56,33.13,106.8,52.28,85.71,48.06,99.98,199.38,104.82
3/10/16,84.68,33.29,105.93,52.56,85.03,48.1,99.97,199.54,104.66
3/11/16,86.02,34.38,108.2,53.62,87.31,48.15,101.66,202.76,106.49
3/14/16,85.8,34.32,107.92,53.38,87.15,48.21,101.67,202.5,106.67
3/15/16,85.56,34.15,106.24,53.2,83.82,48.3,101.67,202.17,106.63
3/16/16,86.04,34.51,106.99,53.82,83.4,49.04,102.25,203.34,107.58
3/17/16,86.85,34.55,108.63,54.19,82.36,49.31,102.68,204.63,107.52
3/18/16,87.4,34.66,109.61,54.88,83.78,48.63,102.9,204.38,107.37
3/21/16,86.88,34.56,109.35,54.88,85.5,48.58,102.77,204.67,107.79
3/22/16,86.69,34.44,109.22,54.85,87.7,48.42,102.85,204.56,108.12
3/23/16,85.94,34.17,106.88,54.2,84.75,48.78,102.42,203.21,107.23
3/24/16,85.81,33.84,107.2,54.11,85.16,48.91,102.41,203.12,107.26
3/28/16,85.89,33.96,107.33,54.09,84.03,48.73,102.45,203.24,107.11
3/29/16,86.44,34.42,110.31,54.84,85.54,49.45,103.72,205.12,108.83
3/30/16,86.77,34.86,110.32,55.39,84.98,49.33,104.17,206.02,109.36
3/31/16,86.71,34.39,110.63,55.08,86.94,49.62,104,205.52,109.2
4/1/16,86.87,34.11,111.12,55.34,89.44,49.81,104.91,206.92,110.36
4/4/16,86.47,34.08,110.19,54.91,90.22,49.6,104.6,206.25,109.94
4/5/16,85.76,33.36,108.94,54.5,89.88,48.67,103.6,204.19,108.88
4/6/16,86.38,33.74,110.17,55.01,95.27,48.61,104.97,206.42,110.67
4/7/16,85.32,33.02,108.68,54.28,93.57,48.59,103.71,203.95,109.08
4/8/16,85.7,33.68,109.11,54.54,92.45,48.85,103.7,204.5,109
4/11/16,85.76,33.74,108.77,54.6,90.9,48.64,103.35,204.02,108.6
4/12/16,86.83,34.08,109.94,54.51,91.97,48.98,104.13,205.92,109.51
4/13/16,87.7,34.65,112.31,55.62,93.73,48.68,105.06,208,110.91
4/14/16,87.8,34.69,112.17,55.02,93.87,48.62,105.03,208.01,110.92
4/15/16,87.59,34.65,112.45,54.61,93.54,48.89,105.03,207.78,110.64
4/18/16,88.23,35.02,113.3,54.68,94.99,49.08,105.67,209.24,111.23
4/19/16,88.92,35.76,113.39,54.22,93.18,49.16,105.41,209.9,110.55
4/20/16,89.2,35.74,113.56,54.48,93.14,47.93,105.45,210.1,110.64
4/21/16,88.56,35.55,112.99,54.18,95.85,46.93,105.09,208.97,110.65
4/22/16,89.12,35.39,114.11,54.21,96.11,47.35,104.35,208.97,108.98
4/25/16,88.71,35.26,113.3,53.94,95.32,47.44,104.29,208.61,108.98
4/26/16,89.18,35.45,114.41,54.52,93.8,47.51,104.25,208.92,108.45
4/27/16,89.8,35.67,114.81,55.16,92.5,48.2,104.03,209.35,107.58
4/28/16,88.94,35.4,113.5,53.79,91.76,48.13,103.03,207.45,106.28
4/29/16,88.41,35.27,112.48,52.46,89.32,48.42,102.59,206.33,105.72
5/2/16,88.98,35.56,113.48,52.81,90.31,48.81,103.54,207.97,106.72
5/3/16,88.01,34.84,111.62,52.26,88.58,48.77,102.9,206.16,105.73
5/4/16,87.43,34.45,110.7,51.7,86.01,49.34,102.47,205.01,105.05
5/5/16,87.28,34.26,110.26,51.89,86.4,49.15,102.41,204.97,105.02
5/6/16,87.57,34.46,110.91,51.9,85.09,48.83,102.91,205.72,105.58
5/9/16,87.41,34.4,111.23,51.85,87.3,49.11,103.29,205.89,105.88
5/10/16,88.46,34.74,112.35,52.43,88.02,49.16,104.59,208.45,107.33
5/11/16,87.87,34.48,110.96,52.19,85.37,49.34,103.49,206.5,106.36
5/12/16,87.8,34.35,110.37,51.26,83.91,49.63,103.38,206.56,105.89
5/13/16,86.95,33.95,109.64,51.41,84.63,49.39,102.83,204.76,105.5
5/16/16,87.84,34.28,111.03,52.44,87.22,49.45,103.84,206.78,106.82
5/17/16,87.08,33.9,109.27,51.95,86.39,48.61,102.59,204.85,105.48
5/18/16,87.06,33.91,109.84,52.87,87.59,47.7,102.74,204.91,105.86
5/19/16,86.85,33.68,108.96,52.41,86.3,48.18,102.13,204.2,105.31
5/20/16,87.42,34.03,110.79,54.15,88.06,48.29,102.87,205.49,106.47
5/23/16,87.36,33.88,110.66,54.5,88.68,47.86,102.82,205.21,106.33
5/24/16,88.28,34.51,112.94,55.82,90.68,48.34,104.34,207.87,108.46
5/25/16,89.06,34.9,113.6,56.13,91.68,48.2,104.87,209.28,109.24
5/26/16,88.91,35.17,113.47,56.32,91.23,48.75,104.95,209.34,109.56
5/27/16,89.3,35.06,114.6,56.69,92.06,48.83,105.39,210.24,110.13
5/31/16,89.23,33.99,115,56.9,93.26,49.15,105.33,209.84,110.34
